pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate
50,c,,,,,8,3,35,2,345.154479,346.1537206,346.1537206,346.1537206,346.1537206,346.1537206,347.1542744,347.1542744,c,1,1.234604758,348.1532626,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,9,0,36,3,348.4036375,349.403445,349.403445,349.403445,349.403445,349.403445,350.4041361,350.4041361,z,1,1.051390694,351.4197804,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,9,1,37,3,351.4699012,352.4702042,352.4702042,352.4702042,352.4702042,352.4702042,353.4707949,353.4707949,z,1,0.602248221,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,9,2,38,0,354.0866965,355.0878449,355.0878449,355.0878449,355.0878449,355.0878449,356.0875252,356.0875252,x,1,4.017489677,357.0867882,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,9,3,39,2,360.1199662,361.119889,361.119889,361.119889,361.119889,361.119889,362.1201967,362.1201967,c,1,0.635101073,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,10,0,40,3,362.7699451,363.7701048,363.7701048,363.7701048,363.7701048,363.7701048,364.7703813,364.7703813,z,1,0.618185088,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,10,1,41,0,365.4032772,366.40316,366.40316,366.40316,366.40316,366.40316,367.403755,367.403755,x,1,0.618304686,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,10,2,42,1,368.0381943,369.0375816,369.0375816,369.0375816,369.0375816,369.0375816,370.0386263,370.0386263,v,1,0.866442268,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,10,3,43,2,370.9198596,371.9198777,371.9198777,371.9198777,371.9198777,371.9198777,372.9100201,372.9100201,c,1,0.562924344,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,11,0,44,1,373.4869649,374.4867923,374.4867923,374.4867923,374.4867923,374.4867923,375.4865711,375.4865711,v,1,0.718801025,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
